Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,ISR,45,45203010,39724,ARBE ROBOTICS LTD,M1R95N100,60.787,31.165,1.457,0.768,35.091,85.749,1.86,-49.317,2024
A,USD,ISR,45,45301020,39786,VALENS SEMICONDUCTOR LTD,M9607U115,172.152,0.975,6.645,57.859,40.475,106.342,2.6,-36.583,2024
A,USD,USA,45,45103010,39787,CONSENSUS CLOUD SOLUTION INC,20848V105,602.201,21.052,586.098,350.382,7.683,19.524,23.86,89.435,2024
A,USD,USA,45,45203010,39789,MULTISENSOR AI HOLDINGS INC,456948108,15.478,0.31,0,7.402,,30.526,1.84,-21.495,2024
A,USD,USA,45,45202030,39800,IONQ INC,46222L108,508.388,3.366,14.359,43.073,136.827,221.919,41.77,-331.647,2024
A,USD,USA,45,45103020,39805,ARTERIS INC,04302A104,106.135,2.399,3.592,57.724,45.007,40.725,10.19,-33.638,2024
I,USD,USA,45,45103010,39810,INFORMATICA INC,45674M101,5279.532,32.436,1828.172,1640.018,315.157,303.535,25.93,9.931,2024
A,USD,CYM,45,45301020,39822,GLOBALFOUNDRIES INC,G39387108,16799,843,1477,6750,496,552.913,42.91,-265,2024
A,USD,USA,45,45203020,39836,SYNTEC OPTICS HOLDINGS INC,87169M105,26.006,7.016,4.399,28.45,,36.688,2.52,-2.48,2024
A,USD,VGB,45,45103010,50917,SAGTEC GLOBAL LTD,G7779D108,6.118,0.199,0.59,11.629,,10.8,,1.549,2024
A,USD,USA,45,45103010,39895,EXPENSIFY INC,30219Q106,173.68,0.729,5.738,139.236,24.638,91.377,3.35,-10.055,2024
A,USD,CYM,45,45102010,39901,CI&T INC,G21307106,526.416,50.094,98.136,438.961,,133.768,6.07,29.494,2024
A,USD,USA,45,45301020,39903,GCT SEMICONDUCTOR HOLDNG INC,36170N107,19.897,38.323,5.124,9.128,17.329,47.987,2.33,-12.379,2024
A,USD,USA,45,45103010,39914,WEAVE COMMUNICATI INC,94724R108,188.926,10.719,45.338,204.314,40.231,73.225,15.92,-28.346,2024
A,USD,USA,45,45301020,39931,NAVITAS SEMICONDUCTOR CORP,63942X106,389.978,1.767,5.553,83.302,76.002,188.114,3.57,-84.599,2024
A,USD,USA,45,45203010,39935,MIRION TECHNOLOGIES INC,60471A101,2636,7.6,712.3,860.8,35,225.916,17.45,-36.1,2024
A,USD,USA,45,45103010,39942,BRAZE INC,10576N102,870.998,18.162,69.278,593.41,133.969,103.951,45.98,-103.743,2024
A,USD,AUS,45,45103010,39960,IREN LIMITED,Q4982L109,1153.033,0.214,1.441,188.758,,186.368,11.29,-28.955,2024
A,USD,USA,45,45102010,39963,KYNDRYL HOLDINGS INC,50155Q100,10452,403,3554,15057,49,230.6,31.4,252,2024
A,USD,USA,45,45103010,39966,CID HOLDCO INC,171756109,,,,,,,10.8,,2024
A,USD,USA,45,45103010,39992,NEXTNAV INC,65345N106,161.74,2.462,68.973,5.669,16.242,131.137,15.56,-101.879,2024
A,USD,CYM,45,45103010,40008,BITFUFU INC,G1152A104,377.678,0,136.251,463.33,5.6,163.107,4.95,53.963,2024
A,USD,ISR,45,45203010,40024,MARIS-TECH LTD,M68057104,9.82,0.725,0.314,6.079,0.927,7.983,5.04,-1.234,2024
