Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,CNY,CYM,35,35201010,176660,3SBIO INC,KYG8875G1029,24212.74,3485.117,69.288,9107.978,1326.53,2090.32,2355.216,2024
A,CNY,HKG,35,35202010,177129,SIMCERE PHARMACEUTICAL GROUP,HK0000658531,11509.927,1118.698,90.671,6635.211,1446.974,733.165,2486.321,2024
A,INR,IND,45,45103010,179032,ORCHASP LTD,INE215B01022,2013.737,156.558,0,210.827,,-105.235,319.55,2024
I,INR,IND,45,45103010,180136,VISESH INFOTECNICS LTD,INE861A01058,4818.922,290.497,24.275,4.342,,-95.234,3724,2024
A,CNY,CHN,45,45103010,180177,PANSOFT COMPANY LIMITED,CNE100004L69,1580.66,7.977,12.602,834.772,46.991,121.25,200.626,2024
A,CNY,CHN,45,45102010,186041,ISOFTSTONE HOLDINGS LIMITED,CNE1000058S0,23181.406,4582.106,2030.414,31299.212,940.36,180.378,952.941,2024
A,CNY,CYM,45,45103020,186717,360 SECURITY TECHNOLOGY INC,CNE100002RZ2,38256.187,535.251,704.405,7846.567,3202.265,-1093.799,6999.558,2024
A,USD,NLD,45,45103020,187118,NEBIUS GROUP N V,,3548.6,19.4,30.3,117.5,129.7,,,2024
A,JPY,JPN,45,45203010,200084,AICHI TOKEI DENKI CO LTD,JP3104400001,62720,815,142,54286,1300,3533.562,15.383,2024
A,JPY,JPN,45,45203015,200227,ARISAWA MFG CO LTD,JP3126000003,71736,6112,4120,49815,2366,3969.603,33.2184,2024
A,TWD,TWN,45,45202030,200294,ASSOCIATED INDUSTRIES CHINA,TW0009912006,835.061,266.949,16.521,504.532,41.685,-51.645,54.657,2024
A,TWD,TWN,45,45203030,200328,AURORA CORP,TW0002373008,18036.199,2207.908,3489.435,11292.746,,958.645,223.706,2024
A,EUR,FRA,45,45102010,200363,ATOS SE,FR001400X2S4,8246,224,2587,9577,,248,179033.102,2024
A,THB,THA,45,45203010,200425,LOXLEY PCL,TH0376010Z04,13461.926,2236.452,767.294,11276.031,,50.235,2264.955,2024
A,JPY,JPN,45,45103010,201959,KSK CO LTD,JP3294000009,22944,0,0,23608,17,1860.616,6.051,2024
A,TWD,TWN,45,45301010,200661,TAIWAN MASK CORP,TW0002338001,20815.145,7477.09,7084.906,7561.749,389.236,-472.521,213.663,2024
A,EUR,DEU,35,35201010,200759,BIOTEST AG,DE0005227235,1434,35.1,635.9,726.2,56.8,26.4,19.786,2024
A,EUR,FRA,35,35202010,200789,BOIRON SA,FR0000061129,576.331,4.519,10.452,487.559,-6.307,11.336,17.362,2024
A,TWD,TWN,45,45202030,200892,CMC MAGNETICS CORP,TW0002323003,26125.304,2590.604,3799.53,7435.183,357.499,-290.103,1089.348,2024
A,GBP,GBR,45,45301020,200896,CML MICROSYSTEMS PLC,GB0001602944,63.187,0.395,1.863,22.899,2.402,-0.018,15.915,2024
A,TWD,TWN,45,45202030,200935,COMPAL ELECTRONIC INC,TW0002324001,463541.707,74159.314,19012.081,910253.024,18900.065,10042.41,4357.13,2024
A,TWD,TWN,45,45203015,200939,COMPEQ MANUFACTURING CO LTD,TW0002313004,85260.464,3030.441,8508.302,72464.408,2738.967,5599.096,1191.821,2024
A,AUD,AUS,45,45103010,200972,ORCODA LTD,AU0000022261,24.842,1.303,2.779,25.129,,0.905,169.157,2024
A,TWD,TWN,45,45202030,201002,KINPO ELECTRONICS INC,TW0002312006,116928.663,13564.774,24031.292,164405.392,1626.979,1646.423,1493.046,2024
